k	ReX_[k]	ImX_[k]	frequency
0	0	0	0.000000
1	0	1	1.000000
2	3	2	2.000000
3	0	4	3.000000
4	5	0	4.000000
5	0	0	5.000000
6	0	0	6.000000
7	0	0	7.000000
8	0	0	8.000000
9	0	0	9.000000
10	0	0	10.000000
11	0	0	11.000000
12	0	0	12.000000
13	0	0	13.000000
14	0	0	14.000000
15	0	0	15.000000
16	0	0	16.000000
17	0	0	17.000000
18	0	0	18.000000
19	0	0	19.000000
20	0	0	20.000000
21	0	0	21.000000
22	0	0	22.000000
23	0	0	23.000000
24	0	0	24.000000
25	0	0	25.000000
26	0	0	26.000000
27	0	0	27.000000
28	0	0	28.000000
29	0	0	29.000000
30	0	0	30.000000
31	0	0	31.000000
32	0	0	32.000000
33	0	0	33.000000
34	0	0	34.000000
35	0	0	35.000000
36	0	0	36.000000
37	0	0	37.000000
38	0	0	38.000000
39	0	0	39.000000
40	0	0	40.000000
41	0	0	41.000000
42	0	0	42.000000
43	0	0	43.000000
44	0	0	44.000000
45	0	0	45.000000
46	0	0	46.000000
47	0	0	47.000000
48	0	0	48.000000
49	0	0	49.000000
50	0	0	50.000000
